order_id,customer_id,zip,city,region,unit_price,qty,total,discount_pct,order_date,delivered_days,late,note,weight_kg,subtotal
1026,25,10121,Torino,Piemonte,65.8,1,65.8,5,2025-11-18,11,1,left at door,0.563,62.51
1027,36,40121,Bologna,Emilia,9.42,8,75.36,0,2025-04-25,2,0,none,4.345,75.36
1028,17,00100,Roma,Lazio,11.5,9,103.5,5,2025-08-22,9,1,left at door,3.884,98.325
1029,1,20121,Milano,Lombardia,12.59,4,50.36,0,2025-03-10,2,0,left at door,2.069,50.36
1030,65,00100,Roma,Lazio,30.82,9,277.38,0,2025-12-24,14,1,none,5.208,277.38
1031,42,10121,Torino,Piemonte,59.75,5,298.75,5,2025-03-22,14,1,fragile - handle with care,2.523,283.8125
1032,66,80121,Napoli,Campania,81.52,3,244.56,10,2025-09-05,9,1,fragile - handle with care,1.561,220.104
1033,10,00100,Roma,Lazio,30.38,5,151.9,0,2025-08-30,12,1,fragile - handle with care,2.677,151.9
1034,54,20121,Milano,Lombardia,31.9,5,159.5,0,2025-12-12,11,1,call before delivery,2.529,159.5
1035,1,10121,Torino,Piemonte,83.33,3,249.99,10,2025-03-22,3,0,left at door,1.728,224.991
1036,70,80121,Napoli,Campania,75.87,6,455.22,10,2025-04-13,14,1,fragile - handle with care,2.706,409.69800000000004
1037,63,20121,Milano,Lombardia,17.05,8,136.4,10,2025-03-10,1,0,none,3.561,122.76
1038,16,10121,Torino,Piemonte,81.6,8,652.8,0,2025-10-22,13,1,left at door,3.361,652.8
1039,72,20121,Milano,Lombardia,83.97,1,83.97,10,2025-04-09,9,1,call before delivery,0.489,75.573
1040,18,00100,Roma,Lazio,21.89,4,87.56,0,2025-09-28,5,0,fragile - handle with care,1.861,87.56
1041,6,40121,Bologna,Emilia,64.56,3,193.68,10,2025-06-16,5,0,none,1.5,174.312
1042,46,00100,Roma,Lazio,23.69,8,189.52,10,2025-11-12,14,1,left at door,3.479,170.568
1043,53,20121,Milano,Lombardia,28.13,8,225.04,0,2025-03-14,4,0,call before delivery,3.969,225.04
1044,8,10121,Torino,Piemonte,51.93,3,155.79,10,2025-06-30,13,1,call before delivery,1.498,140.21099999999998
1045,5,10121,Torino,Piemonte,54.61,6,327.66,0,2025-06-30,3,0,fragile - handle with care,2.767,327.66
1046,76,00100,Roma,Lazio,50.51,2,101.02,10,2025-01-27,13,1,none,1.122,90.91799999999999
1047,46,80121,Napoli,Campania,56.41,5,282.05,10,2025-12-08,7,0,none,2.505,253.84500000000003
1048,43,40121,Bologna,Emilia,25.25,9,227.25,10,2025-05-25,13,1,left at door,4.67,204.525
1049,50,80121,Napoli,Campania,78.97,4,315.88,10,2025-10-27,5,0,none,2.362,284.292
1050,26,00100,Roma,Lazio,31.4,3,94.2,5,2025-07-04,12,1,call before delivery,1.726,89.49000000000001
1051,47,40121,Bologna,Emilia,91.7,2,183.4,10,2025-10-02,14,1,call before delivery,1.058,165.06
1052,48,20121,Milano,Lombardia,53.94,4,215.76,0,2025-08-11,9,1,left at door,1.604,215.76
1053,79,10121,Torino,Piemonte,33.85,5,169.25,0,2025-12-11,8,1,left at door,2.644,169.25
1054,18,80121,Napoli,Campania,21.57,7,150.99,5,2025-01-31,11,1,none,3.227,143.44050000000001
1055,49,20121,Milano,Lombardia,51.09,9,459.81,0,2025-12-03,13,1,fragile - handle with care,4.045,459.81
1056,65,40121,Bologna,Emilia,40.75,3,122.25,5,2025-12-07,13,1,left at door,1.563,116.1375
1057,14,00100,Roma,Lazio,64.19,6,385.14,5,2025-07-21,13,1,fragile - handle with care,2.611,365.883
1058,5,20121,Milano,Lombardia,52.35,9,471.15,10,2025-09-21,12,1,left at door,4.925,424.03499999999997
1059,74,80121,Napoli,Campania,8.51,6,51.06,0,2025-09-10,13,1,left at door,3.332,51.06
1060,67,10121,Torino,Piemonte,84.14,5,420.7,5,2025-09-14,14,1,fragile - handle with care,2.138,399.66499999999996
1061,24,10121,Torino,Piemonte,9.91,9,89.19,0,2025-05-09,7,0,fragile - handle with care,3.874,89.19
1062,63,20121,Milano,Lombardia,83.62,9,752.58,0,2025-08-23,7,0,fragile - handle with care,5.266,752.58
1063,43,00100,Roma,Lazio,82.21,8,657.68,5,2025-07-16,9,1,none,3.249,624.7959999999999
1064,20,10121,Torino,Piemonte,92.78,2,185.56,10,2025-09-28,8,1,none,1.119,167.00400000000002
1065,35,40121,Bologna,Emilia,68.12,9,613.08,0,2025-12-03,8,1,left at door,4.944,613.08
1066,21,10121,Torino,Piemonte,20.26,8,162.08,5,2025-02-11,1,0,fragile - handle with care,4.325,153.976
1067,64,40121,Bologna,Emilia,46.98,9,422.82,10,2025-07-05,1,0,fragile - handle with care,3.661,380.538
1068,48,20121,Milano,Lombardia,46.75,4,187.0,5,2025-01-24,6,0,fragile - handle with care,2.353,177.65
1069,7,40121,Bologna,Emilia,65.07,7,455.49,0,2025-06-03,14,1,none,3.088,455.49
1070,39,40121,Bologna,Emilia,41.21,8,329.68,10,2025-01-18,5,0,left at door,4.596,296.712
1071,30,80121,Napoli,Campania,69.19,3,207.57,5,2025-08-29,3,0,call before delivery,1.5,197.1915
1072,66,10121,Torino,Piemonte,24.37,8,194.96,5,2025-06-03,11,1,fragile - handle with care,3.721,185.21200000000002
1073,35,00100,Roma,Lazio,38.57,6,231.42,10,2025-06-19,8,1,none,2.61,208.278
1074,70,40121,Bologna,Emilia,56.61,9,509.49,10,2025-10-27,9,1,call before delivery,3.621,458.541
1075,48,10121,Torino,Piemonte,45.63,4,182.52,10,2025-02-04,10,1,none,1.787,164.268
1076,25,80121,Napoli,Campania,16.64,4,66.56,10,2025-07-23,10,1,call before delivery,1.693,59.904
1077,72,10121,Torino,Piemonte,96.75,8,774.0,5,2025-05-19,12,1,left at door,3.211,735.3
1078,52,20121,Milano,Lombardia,70.67,1,70.67,10,2025-04-25,8,1,left at door,0.533,63.603
1079,24,00100,Roma,Lazio,84.14,2,168.28,10,2025-02-19,8,1,call before delivery,1.191,151.452
1080,18,10121,Torino,Piemonte,38.96,2,77.92,0,2025-02-06,14,1,none,1.006,77.92
1081,28,40121,Bologna,Emilia,94.77,5,473.85,0,2025-11-30,9,1,left at door,2.82,473.85
1082,20,40121,Bologna,Emilia,82.18,4,328.72,5,2025-02-16,4,0,call before delivery,2.376,312.28400000000005
1083,54,80121,Napoli,Campania,98.05,8,784.4,0,2025-09-28,12,1,none,3.329,784.4
1084,3,20121,Milano,Lombardia,23.75,9,213.75,10,2025-04-24,11,1,left at door,4.366,192.375
1085,17,10121,Torino,Piemonte,50.33,5,251.65,0,2025-06-10,10,1,fragile - handle with care,2.422,251.65
1086,53,80121,Napoli,Campania,41.66,6,249.96,5,2025-08-22,5,0,none,2.699,237.46200000000002
1087,41,20121,Milano,Lombardia,63.32,6,379.92,10,2025-01-26,10,1,left at door,3.261,341.928
1088,64,20121,Milano,Lombardia,28.77,4,115.08,5,2025-03-21,12,1,call before delivery,2.043,109.326
1089,26,80121,Napoli,Campania,14.54,1,14.54,5,2025-02-11,12,1,call before delivery,0.434,13.812999999999999
1090,40,10121,Torino,Piemonte,50.28,8,402.24,0,2025-01-11,8,1,none,4.713,402.24
1091,50,10121,Torino,Piemonte,65.75,3,197.25,10,2025-04-06,2,0,call before delivery,1.272,177.525
1092,62,40121,Bologna,Emilia,41.48,7,290.36,10,2025-05-05,8,1,left at door,2.87,261.324
1093,46,10121,Torino,Piemonte,98.81,9,889.29,10,2025-07-11,8,1,none,4.961,800.361
1094,79,80121,Napoli,Campania,43.57,6,261.42,10,2025-06-19,10,1,call before delivery,2.913,235.27800000000002
1095,55,40121,Bologna,Emilia,33.48,6,200.88,5,2025-02-08,1,0,none,3.183,190.83599999999998
1096,12,00100,Roma,Lazio,82.32,7,576.24,10,2025-04-24,14,1,left at door,2.841,518.616
1097,34,00100,Roma,Lazio,49.34,4,197.36,10,2025-05-13,3,0,none,1.664,177.62400000000002
1098,7,10121,Torino,Piemonte,30.96,7,216.72,5,2025-03-07,12,1,call before delivery,3.198,205.88400000000001
1099,19,80121,Napoli,Campania,32.22,5,161.1,5,2025-03-08,1,0,left at door,2.328,153.045
1100,31,00100,Roma,Lazio,94.98,8,759.84,5,2025-05-15,14,1,call before delivery,4.045,721.8480000000001
1101,2,40121,Bologna,Emilia,96.36,7,674.52,0,2025-02-07,13,1,call before delivery,3.245,674.52
1102,77,40121,Bologna,Emilia,66.39,6,398.34,10,2025-02-01,8,1,call before delivery,2.678,358.506
1103,48,40121,Bologna,Emilia,31.48,8,251.84,0,2025-02-14,5,0,call before delivery,4.722,251.84
1104,35,80121,Napoli,Campania,72.58,1,72.58,5,2025-09-05,7,0,left at door,0.427,68.951
1105,18,00100,Roma,Lazio,25.59,8,204.72,5,2025-02-14,8,1,call before delivery,4.004,194.484
1106,6,10121,Torino,Piemonte,35.6,9,320.4,10,2025-04-25,3,0,call before delivery,4.003,288.35999999999996
1107,1,80121,Napoli,Campania,56.46,3,169.38,5,2025-10-31,12,1,none,1.687,160.911
1108,75,20121,Milano,Lombardia,43.11,6,258.66,5,2025-11-14,9,1,none,3.143,245.72700000000003
1109,30,00100,Roma,Lazio,38.35,3,115.05,5,2025-03-07,10,1,call before delivery,1.572,109.2975
1110,58,10121,Torino,Piemonte,97.54,5,487.7,5,2025-11-03,2,0,call before delivery,2.435,463.315
1111,22,00100,Roma,Lazio,21.17,6,127.02,5,2025-02-10,13,1,none,2.95,120.669
1112,79,20121,Milano,Lombardia,63.31,9,569.79,0,2025-07-04,8,1,left at door,5.386,569.79
1113,54,80121,Napoli,Campania,8.66,5,43.3,0,2025-10-31,7,0,fragile - handle with care,2.425,43.3
1114,44,40121,Bologna,Emilia,13.71,6,82.26,5,2025-05-11,1,0,fragile - handle with care,3.189,78.147
1115,24,80121,Napoli,Campania,24.95,6,149.7,10,2025-12-17,10,1,call before delivery,2.506,134.73
1116,45,80121,Napoli,Campania,99.21,9,892.89,5,2025-06-26,12,1,call before delivery,4.544,848.2455
1117,30,80121,Napoli,Campania,74.01,2,148.02,10,2025-09-25,13,1,left at door,1.102,133.21800000000002
1118,69,20121,Milano,Lombardia,87.46,2,174.92,5,2025-11-06,3,0,left at door,0.988,166.17399999999998
1119,58,10121,Torino,Piemonte,9.7,3,29.1,5,2025-01-27,2,0,none,1.636,27.645000000000003
1120,44,40121,Bologna,Emilia,69.74,4,278.96,0,2025-03-13,4,0,fragile - handle with care,2.131,278.96
1121,54,20121,Milano,Lombardia,46.79,7,327.53,10,2025-02-19,7,0,call before delivery,2.954,294.777
1122,55,80121,Napoli,Campania,44.56,1,44.56,10,2025-06-11,2,0,none,0.495,40.104
1123,13,00100,Roma,Lazio,72.28,4,289.12,0,2025-02-23,2,0,left at door,1.625,289.12
1124,75,80121,Napoli,Campania,34.29,1,34.29,10,2025-07-04,6,0,fragile - handle with care,0.418,30.861
1125,47,40121,Bologna,Emilia,53.78,7,376.46,10,2025-02-05,8,1,call before delivery,3.743,338.81399999999996
1126,17,20121,Milano,Lombardia,29.77,4,119.08,0,2025-07-11,1,0,left at door,1.776,119.08
1127,74,40121,Bologna,Emilia,42.18,1,42.18,5,2025-06-25,5,0,left at door,0.41,40.071
1128,35,10121,Torino,Piemonte,55.67,7,389.69,0,2025-10-28,8,1,none,3.456,389.69
1129,72,80121,Napoli,Campania,20.0,9,180.0,5,2025-01-21,12,1,call before delivery,4.857,171.0
1130,34,80121,Napoli,Campania,31.24,4,124.96,0,2025-05-05,9,1,left at door,1.824,124.96
1131,68,20121,Milano,Lombardia,44.94,2,89.88,5,2025-10-18,7,0,none,0.876,85.386
1132,51,10121,Torino,Piemonte,49.91,6,299.46,10,2025-12-18,2,0,left at door,2.677,269.514
1133,23,20121,Milano,Lombardia,81.0,5,405.0,0,2025-05-30,3,0,call before delivery,2.023,405.0
1134,25,40121,Bologna,Emilia,66.08,1,66.08,0,2025-07-16,7,0,fragile - handle with care,0.408,66.08
1135,76,40121,Bologna,Emilia,58.44,9,525.96,5,2025-03-13,13,1,call before delivery,4.432,499.66200000000003
1136,46,80121,Napoli,Campania,87.64,2,175.28,0,2025-07-17,11,1,left at door,0.886,175.28
1137,16,80121,Napoli,Campania,23.75,3,71.25,0,2025-02-03,6,0,call before delivery,1.457,71.25
1138,41,80121,Napoli,Campania,14.89,4,59.56,0,2025-02-13,8,1,left at door,2.331,59.56
1139,32,80121,Napoli,Campania,42.4,3,127.2,5,2025-07-27,1,0,fragile - handle with care,1.683,120.84
1140,46,80121,Napoli,Campania,18.03,6,108.18,5,2025-07-01,7,0,call before delivery,3.392,102.771
1141,10,00100,Roma,Lazio,57.82,9,520.38,5,2025-10-12,4,0,call before delivery,5.272,494.361
1142,69,00100,Roma,Lazio,59.5,7,416.5,5,2025-01-05,12,1,fragile - handle with care,3.734,395.675
1143,45,10121,Torino,Piemonte,17.5,9,157.5,10,2025-08-01,6,0,call before delivery,4.388,141.75
1144,71,20121,Milano,Lombardia,73.03,5,365.15,10,2025-07-31,4,0,none,2.073,328.635
1145,58,80121,Napoli,Campania,57.87,5,289.35,0,2025-03-28,1,0,none,2.722,289.35
1146,23,40121,Bologna,Emilia,45.2,4,180.8,10,2025-07-03,7,0,call before delivery,1.689,162.72000000000003
1147,55,10121,Torino,Piemonte,92.16,1,92.16,0,2025-10-21,2,0,call before delivery,0.461,92.16
1148,37,10121,Torino,Piemonte,86.31,7,604.17,5,2025-03-04,6,0,fragile - handle with care,3.193,573.9615
1149,1,10121,Torino,Piemonte,25.99,6,155.94,5,2025-07-07,5,0,none,3.525,148.143
1150,73,80121,Napoli,Campania,20.83,1,20.83,5,2025-09-11,6,0,none,0.573,19.7885
1151,78,00100,Roma,Lazio,91.98,3,275.94,0,2025-08-02,5,0,call before delivery,1.353,275.94
1152,78,10121,Torino,Piemonte,19.94,1,19.94,5,2025-08-23,2,0,call before delivery,0.475,18.943
1153,25,40121,Bologna,Emilia,76.93,2,153.86,5,2025-11-28,7,0,call before delivery,0.991,146.167
1154,7,10121,Torino,Piemonte,34.69,7,242.83,0,2025-11-01,9,1,fragile - handle with care,2.867,242.83
1155,59,80121,Napoli,Campania,39.31,9,353.79,0,2025-09-04,5,0,left at door,3.635,353.79
1156,10,80121,Napoli,Campania,57.6,7,403.2,0,2025-11-25,2,0,call before delivery,3.597,403.2
1157,74,80121,Napoli,Campania,92.97,6,557.82,10,2025-02-12,5,0,left at door,3.0,502.038
1158,51,10121,Torino,Piemonte,5.2,9,46.8,5,2025-11-16,1,0,fragile - handle with care,4.733,44.459999999999994
1159,62,80121,Napoli,Campania,20.42,4,81.68,0,2025-09-11,7,0,fragile - handle with care,2.303,81.68
1160,64,00100,Roma,Lazio,73.42,4,293.68,10,2025-03-16,12,1,fragile - handle with care,1.711,264.312
1161,42,40121,Bologna,Emilia,42.47,1,42.47,5,2025-04-16,5,0,call before delivery,0.579,40.3465
1162,32,20121,Milano,Lombardia,32.34,5,161.7,5,2025-10-27,10,1,none,2.21,153.61499999999998
1163,43,20121,Milano,Lombardia,96.48,4,385.92,10,2025-10-16,11,1,left at door,2.338,347.32800000000003
1164,79,40121,Bologna,Emilia,30.08,5,150.4,0,2025-01-03,13,1,none,2.159,150.4
1165,12,40121,Bologna,Emilia,72.85,8,582.8,10,2025-07-25,11,1,fragile - handle with care,3.839,524.52
1166,34,80121,Napoli,Campania,96.6,2,193.2,0,2025-06-25,14,1,fragile - handle with care,1.095,193.2
1167,31,20121,Milano,Lombardia,77.46,3,232.38,0,2025-07-17,1,0,fragile - handle with care,1.32,232.38
1168,59,80121,Napoli,Campania,72.39,2,144.78,0,2025-11-08,2,0,fragile - handle with care,0.847,144.78
1169,65,80121,Napoli,Campania,73.7,3,221.1,5,2025-02-21,3,0,fragile - handle with care,1.361,210.045
1170,24,20121,Milano,Lombardia,81.5,4,326.0,0,2025-12-25,2,0,fragile - handle with care,1.869,326.0
1171,54,00100,Roma,Lazio,30.77,6,184.62,10,2025-01-10,2,0,left at door,3.463,166.15800000000002
1172,22,40121,Bologna,Emilia,64.54,6,387.24,10,2025-10-24,2,0,call before delivery,2.701,348.516
1173,53,80121,Napoli,Campania,81.27,3,243.81,0,2025-12-22,5,0,call before delivery,1.609,243.81
1174,72,10121,Torino,Piemonte,89.38,3,268.14,10,2025-04-23,8,1,left at door,1.701,241.326
1175,54,00100,Roma,Lazio,91.05,6,546.3,10,2025-01-12,5,0,fragile - handle with care,2.416,491.66999999999996
1176,22,00100,Roma,Lazio,90.87,7,636.09,0,2025-10-23,1,0,fragile - handle with care,3.183,636.09
1177,28,20121,Milano,Lombardia,14.28,7,99.96,10,2025-01-19,11,1,call before delivery,4.064,89.964
1178,71,40121,Bologna,Emilia,40.76,4,163.04,0,2025-02-01,8,1,none,2.065,163.04
1179,78,20121,Milano,Lombardia,48.36,3,145.08,10,2025-06-17,11,1,call before delivery,1.302,130.572
1180,63,00100,Roma,Lazio,89.71,2,179.42,10,2025-03-03,13,1,call before delivery,0.997,161.47799999999998
1181,27,40121,Bologna,Emilia,44.83,5,224.15,5,2025-12-09,13,1,none,2.4,212.9425
1182,33,40121,Bologna,Emilia,30.17,6,181.02,0,2025-11-22,7,0,left at door,3.403,181.02
1183,15,00100,Roma,Lazio,6.89,6,41.34,5,2025-07-17,10,1,left at door,3.351,39.273
1184,23,10121,Torino,Piemonte,32.43,8,259.44,5,2025-11-25,4,0,none,3.719,246.468
1185,53,20121,Milano,Lombardia,79.17,4,316.68,5,2025-12-29,9,1,left at door,2.386,300.846
1186,14,10121,Torino,Piemonte,6.92,5,34.6,10,2025-10-05,11,1,none,2.048,31.14
1187,14,00100,Roma,Lazio,20.67,3,62.01,5,2025-09-19,14,1,none,1.746,58.909499999999994
1188,72,40121,Bologna,Emilia,34.54,4,138.16,0,2025-10-08,5,0,left at door,1.678,138.16
1189,78,20121,Milano,Lombardia,55.54,2,111.08,0,2025-10-27,9,1,none,1.022,111.08
1190,72,10121,Torino,Piemonte,39.49,5,197.45,5,2025-09-26,3,0,none,2.419,187.5775
1191,46,10121,Torino,Piemonte,88.85,6,533.1,5,2025-10-27,6,0,left at door,3.388,506.44500000000005
1192,5,40121,Bologna,Emilia,24.71,1,24.71,5,2025-02-16,13,1,left at door,0.496,23.4745
1193,10,00100,Roma,Lazio,58.36,9,525.24,5,2025-12-11,5,0,left at door,4.107,498.978
1194,46,20121,Milano,Lombardia,78.89,1,78.89,10,2025-11-30,7,0,fragile - handle with care,0.543,71.001
1195,2,40121,Bologna,Emilia,93.31,1,93.31,5,2025-12-20,1,0,none,0.476,88.64450000000001
1196,11,40121,Bologna,Emilia,87.98,1,87.98,10,2025-01-18,1,0,call before delivery,0.485,79.182
1197,48,20121,Milano,Lombardia,17.87,8,142.96,10,2025-04-30,14,1,fragile - handle with care,4.506,128.66400000000002
1198,28,00100,Roma,Lazio,80.22,7,561.54,0,2025-06-26,4,0,left at door,3.299,561.54
1199,4,40121,Bologna,Emilia,69.16,9,622.44,5,2025-09-16,11,1,left at door,4.554,591.3180000000001
1200,65,10121,Torino,Piemonte,45.05,6,270.3,0,2025-02-02,3,0,fragile - handle with care,3.37,270.3
1201,5,40121,Bologna,Emilia,7.43,5,37.15,0,2025-07-05,6,0,left at door,2.827,37.15
1202,11,00100,Roma,Lazio,20.96,4,83.84,5,2025-10-20,2,0,left at door,2.147,79.648
1203,33,10121,Torino,Piemonte,76.2,9,685.8,10,2025-12-24,13,1,fragile - handle with care,4.878,617.2199999999999
1204,47,80121,Napoli,Campania,12.98,6,77.88,5,2025-05-11,12,1,left at door,2.514,73.98599999999999
1205,36,80121,Napoli,Campania,34.7,7,242.9,10,2025-08-04,11,1,left at door,3.563,218.61
1206,19,20121,Milano,Lombardia,29.25,4,117.0,5,2025-10-25,13,1,fragile - handle with care,2.078,111.15
1207,66,40121,Bologna,Emilia,75.88,5,379.4,0,2025-05-27,7,0,none,2.141,379.4
1208,75,00100,Roma,Lazio,39.11,8,312.88,10,2025-08-07,1,0,left at door,4.621,281.592
1209,11,80121,Napoli,Campania,13.28,5,66.4,5,2025-01-13,14,1,none,2.676,63.080000000000005
1210,79,20121,Milano,Lombardia,40.19,7,281.33,5,2025-07-15,4,0,none,2.944,267.26349999999996
1211,69,20121,Milano,Lombardia,36.05,5,180.25,5,2025-09-24,13,1,fragile - handle with care,2.122,171.2375
1212,11,80121,Napoli,Campania,73.12,7,511.84,0,2025-09-22,11,1,call before delivery,2.945,511.84
1213,32,10121,Torino,Piemonte,35.41,7,247.87,10,2025-01-05,7,0,none,3.003,223.083
1214,57,80121,Napoli,Campania,70.89,6,425.34,0,2025-03-30,2,0,left at door,3.108,425.34
1215,68,00100,Roma,Lazio,56.17,3,168.51,0,2025-08-25,6,0,call before delivery,1.259,168.51
1216,26,40121,Bologna,Emilia,89.33,3,267.99,0,2025-07-31,12,1,fragile - handle with care,1.445,267.99
1217,12,80121,Napoli,Campania,74.67,7,522.69,10,2025-04-07,3,0,left at door,3.204,470.42100000000005
1218,59,00100,Roma,Lazio,43.75,2,87.5,10,2025-10-16,9,1,left at door,1.061,78.75
1219,4,20121,Milano,Lombardia,51.07,5,255.35,10,2025-09-04,2,0,fragile - handle with care,2.712,229.815
1220,17,00100,Roma,Lazio,49.78,5,248.9,10,2025-02-09,14,1,none,2.638,224.01
1221,35,20121,Milano,Lombardia,87.81,7,614.67,0,2025-12-29,6,0,left at door,3.634,614.67
1222,62,20121,Milano,Lombardia,18.11,1,18.11,10,2025-02-11,14,1,call before delivery,0.511,16.299
1223,18,00100,Roma,Lazio,45.3,9,407.7,5,2025-05-08,4,0,fragile - handle with care,4.982,387.315
1224,59,80121,Napoli,Campania,55.82,4,223.28,10,2025-12-27,1,0,fragile - handle with care,2.001,200.952
1225,38,20121,Milano,Lombardia,46.44,3,139.32,0,2025-07-23,1,0,left at door,1.328,139.32
1226,51,80121,Napoli,Campania,61.81,7,432.67,10,2025-03-23,5,0,none,2.953,389.403
1227,65,40121,Bologna,Emilia,52.39,4,209.56,0,2025-07-23,11,1,call before delivery,2.08,209.56
1228,46,00100,Roma,Lazio,44.3,2,88.6,10,2025-04-18,7,0,fragile - handle with care,1.122,79.74
1229,70,40121,Bologna,Emilia,70.25,3,210.75,10,2025-03-01,14,1,fragile - handle with care,1.631,189.675
1230,39,40121,Bologna,Emilia,36.29,5,181.45,5,2025-02-10,10,1,none,2.708,172.3775
1231,7,00100,Roma,Lazio,62.66,1,62.66,10,2025-09-27,10,1,none,0.555,56.394
1232,76,00100,Roma,Lazio,74.21,5,371.05,10,2025-01-18,10,1,none,2.081,333.945
1233,21,20121,Milano,Lombardia,17.41,6,104.46,5,2025-09-14,13,1,left at door,3.421,99.237
1234,59,00100,Roma,Lazio,36.01,4,144.04,10,2025-03-23,6,0,fragile - handle with care,1.625,129.636
1235,25,10121,Torino,Piemonte,94.75,6,568.5,5,2025-10-09,13,1,call before delivery,3.071,540.075
1236,11,10121,Torino,Piemonte,96.77,6,580.62,5,2025-04-13,1,0,fragile - handle with care,2.899,551.589
1237,14,40121,Bologna,Emilia,99.28,9,893.52,10,2025-03-22,10,1,none,3.837,804.168
1238,58,10121,Torino,Piemonte,9.04,6,54.24,10,2025-10-26,7,0,fragile - handle with care,3.088,48.816
1239,37,10121,Torino,Piemonte,83.52,6,501.12,5,2025-01-25,8,1,left at door,2.538,476.064
1240,46,20121,Milano,Lombardia,93.85,6,563.1,5,2025-07-26,12,1,none,2.461,534.945
1241,5,10121,Torino,Piemonte,90.68,4,362.72,5,2025-05-24,6,0,call before delivery,2.169,344.584
1242,20,10121,Torino,Piemonte,72.92,1,72.92,10,2025-03-02,6,0,fragile - handle with care,0.578,65.628
1243,16,80121,Napoli,Campania,69.18,9,622.62,0,2025-02-12,7,0,fragile - handle with care,4.393,622.62
1244,73,40121,Bologna,Emilia,73.36,4,293.44,0,2025-11-02,7,0,left at door,2.245,293.44
1245,6,40121,Bologna,Emilia,59.61,1,59.61,5,2025-04-12,5,0,call before delivery,0.591,56.6295
1246,60,10121,Torino,Piemonte,79.9,2,159.8,10,2025-09-24,12,1,fragile - handle with care,1.092,143.82000000000002
1247,37,20121,Milano,Lombardia,52.68,3,158.04,0,2025-01-07,3,0,none,1.453,158.04
1248,41,20121,Milano,Lombardia,26.46,7,185.22,10,2025-08-06,13,1,fragile - handle with care,4.121,166.698
1249,75,10121,Torino,Piemonte,13.96,7,97.72,5,2025-05-27,7,0,call before delivery,3.146,92.834
1250,26,10121,Torino,Piemonte,91.28,8,730.24,10,2025-03-16,9,1,left at door,3.582,657.216
1251,13,20121,Milano,Lombardia,76.71,2,153.42,5,2025-05-12,10,1,call before delivery,1.068,145.749
1252,43,00100,Roma,Lazio,21.84,5,109.2,10,2025-01-25,7,0,none,2.825,98.28
